,Embedding,Texto
96,[-0.01062  -0.01991  -0.07336  ... -0.0374   -0.05206  -0.008965],"Petra van Staveren (Kampen, Países Bajos, 2 de junio de 1966)[1]​ es una nadadora neerlandesa retirada especializada en pruebas de estilo braza, donde consiguió ser campeona olímpica en 1984 en los 100 metros.[2]​[3]​Catherine Poirot (Tours, Francia, 9 de abril de 1963)[1]​ es una nadadora francesa retirada especializada en pruebas de estilo braza, donde consiguió ser medallista de bronce olímpica en 1984 en los 100 metros.[2]​[3]​"
97,[-0.0299   -0.00638  -0.03687  ... -0.006424 -0.02654   0.00198 ],
98,[-0.05814  -0.0715   -0.04193  ... -0.010124 -0.002785 -0.03378 ],"The Love Boat, El crucero del amor (en Hispanoamérica), El bote del amor (en Venezuela) o Vacaciones en el mar (en España) es una serie de televisión estadounidense que se emitió en la cadena ABC entre los años 1977 y 1986. Estaba ambientada en un barco que realizaba cruceros de lujo por diferentes lugares del mundo. Es básicamente una comedia de situación con toques románticos, de tono amable y pensada para un público familiar.Albert Leong (30 de septiembre de 1952) es un artista marcial, coreógrafo de artes marciales, escritor, actor, doble de riesgo y director de ascendencia asiática-estadounidense. Ha aparecido en cine y televisión, además de involucrarse en la producción cinematográfica.
En el año 2000 hizo su debut directorial y como escritor en la película independiente Daddy Tell Me a Story..."
99,[-0.02094   0.006107  0.00623  ...  0.0309    0.03625   0.04056 ],"El Hamilton Academical Football Club es un club de fútbol de Escocia, con sede en Hamilton. Fue fundado en 1874 y compite en el Scottish Championship, segunda categoría del fútbol escocés.La Scottish Challenge Cup (por razones de patrocinio Petrofac Training Cup) es una competición de fútbol de Escocia en la que participan equipos de la Scottish Premiership, Primera, Segunda, Tercera División, más los campeones de la Highland Football League.
La competición se celebró por primera vez durante la temporada 1990-91, como la Copa Centenario B & Q, para celebrar el 100° aniversario de la formación de la Liga escocesa de fútbol. El primer ganador del torneo fue Dundee FC, que venció en la final al Ayr United. Falkirk es el equipo más exitoso en el torneo, con cuatro victorias, la última en 2012."
100,[-0.0284  -0.03506 -0.02838 ...  0.00975  0.0378  -0.04553],"Ghislain N'Clomande Konan, más conocido como Ghislain Konan, (Abiyán, 27 de diciembre de 1995) es un futbolista marfileño que juega de defensa.La selección de fútbol de Costa de Marfil es el equipo representativo del país en las competiciones oficiales. Es dirigida por la Fédération Ivoirienne de Football, perteneciente a la Confederación Africana de Fútbol.
Con un total de 23 participaciones, Los Elefantes alzaron la Copa Africana de Naciones en tres ocasiones: en 1992, 2015 y de locales en 2024. También fueron subcampeones en 2006 y 2012."
101,[ 0.007084 -0.02394  -0.02263  ...  0.001268 -0.04517  -0.003628],"David John Franco (Palo Alto, California; 12 de junio de 1985) es un actor y cineasta estadounidense. Comenzó su carrera con pequeños papeles en películas como Superbad (2007) y Charlie St. Cloud (2010). Después de un papel protagónico en la novena temporada de la serie de comedia Scrubs, Franco tuvo su gran éxito cinematográfico con un papel secundario en la película de comedia de amigos 21 Jump Street (2012). 
Franco también ha protagonizado Fright Night (2011), Now You See Me (2013) y su secuela Now You See Me 2 (2016), Neighbors (2014) y su secuela Neighbors 2: Sorority Rising (2016), Nerve (2016), The Disaster Artist (2017) y Day Shift (2022). En 2020, hizo su debut como director con The Rental, protagonizada por su esposa Alison Brie .James Edward Franco (Palo Alto, California; 19 de abril de 1978) es un actor y director de cine estadounidense.[1]​[2]​
Inició su trabajo interpretativa a finales de la década de 1990, con apariciones en series televisivas como Freaks and Geeks y en películas de adolescentes. En 2001 interpretó el papel de James Dean en la película homónima, actuación que fue premiada con un Globo de Oro al mejor actor de miniserie o telefilme.[3]​
Alcanzó la fama internacional por su papel de Harry Osborn en la primera trilogía de Spider-Man. A partir de entonces, sus participaciones en películas han sido muy variadas, incluyendo la película de guerra The Great Raid (2005), el drama romántico Tristán e Isolda, y la película dramática Annapolis (2006), dirigida por Justin Lin, entre otras. 
En 2008 interpretó a Saul Silver en la comedia Pineapple Express, película que le mereció una nominación a los Premios Globo de Oro en la categoría al mejor actor de comedia o musical. Ese mismo año tuvo un papel importante en la película biográfica Milk, donde interpretó a la pareja del político y activista gay Harvey Milk. 
En 2011 fue nominado a los Premios Óscar por su papel de actor principal en la película 127 horas.[4]​ En 2017, la película The Disaster Artist, producida, dirigida y protagonizada por Franco, fue galardonada con la Concha de Oro del Festival Internacional de Cine de San Sebastián.[5]​ También ganó el Globo de Oro al mejor actor Comedia o musical y estuvo nominada al Oscar al mejor guion adaptado"
102,[-0.0579   -0.02812  -0.003986 ... -0.02608   0.005608 -0.019   ],"Captain Morgan es una de las marcas de ron producida por la empresa Diageo. Recibe este nombre por el corsario del Caribe del siglo XVII originario de Gales Henry Morgan. El eslogan de Captain Morgan es: ""¿Hay un pequeño capitán en ti?"" («Got a little Captain in You?»).Tracy Jamal Morgan (Brooklyn, 10 de noviembre de 1968) es un actor, comediante y autor estadounidense que es conocido por sus ocho temporadas como miembro de elenco de Saturday Night Live y actualmente conocido por interpretar el papel de Tracy Jordan en la serie de NBC 30 Rock."
103,[-0.05496 -0.03113 -0.04202 ... -0.01143  0.01959 -0.01628],"La epidemiología es una disciplina científica en el área de la salud pública, no solamente la medicina,  que estudia la distribución, frecuencia, magnitud y factores determinantes de las enfermedades existentes en poblaciones humanas definidas. Rich la describió en 1979 como la ciencia que estudia la dinámica de salud en las poblaciones; por lo tanto involucra el análisis e interpretación de las personas que también están sanas.. El profesional especializado en epidemiología se llama epidemiólogo.[1]​La epidemiología ocupacional es una subdisciplina de la epidemiología que se centra en las investigaciones de los trabajadores y el lugar de trabajo.[1]​[2]​ Los estudios epidemiológicos ocupacionales examinan los resultados de salud entre los trabajadores y su posible asociación con las condiciones en el lugar de trabajo, incluidos el ruido, los productos químicos, el calor o la radiación, o la organización del trabajo, como los horarios.
La necesidad de evidencia para informar las regulaciones de seguridad ocupacional, los programas de compensación laboral y la legislación de seguridad motivó el desarrollo de políticas de salud pública, métodos de epidemiología ocupacional y mecanismos de vigilancia.[3]​ La investigación epidemiológica ocupacional puede informar las evaluaciones de riesgos; desarrollo de estándares y otras actividades de gestión de riesgos; y estimaciones de los co-beneficios y co-daños de las políticas diseñadas para reducir los factores de riesgo o las condiciones que pueden afectar la salud humana. Los métodos de epidemiología ocupacional son comunes a los métodos utilizados en epidemiología ambiental.[4]​"
104,[-0.04126    0.0097    -0.04645   ...  0.0005436 -0.02254   -0.04138  ],"El primer caso de la pandemia de COVID-19 en el Perú fue anunciado el 6 de marzo de 2020,[2]​ y la transmisión comunitaria fue confirmada el 15 de marzo,[3]​ mientras que el primer fallecimiento fue reportado dos días después.[4]​ El brote se extendió a todo el país, con Ucayali siendo el último departamento en reportar su primer caso el 12 de abril.[5]​ En julio de 2020, se confirmó que indígenas sharanahuas en la provincia de Purús habían sido contagiados, convirtiéndose en la última provincia del país en declarar tener presencia infectados.[6]​ Desde finales de abril de 2020, los contagios aumentaron y el Perú se convirtió en el segundo país con más casos en América Latina y el quinto en el mundo.[7]​[8]​ El 26 de agosto de 2020, el Perú alcanzó el mayor índice de mortalidad per cápita y el noveno país con mayor cantidad de muertes totales.[9]​ Con más de 200 000 muertos, el evento fue el más mortífero de la historia del Perú, cobrándose más vidas que la época del terrorismo.[10]​
El 15 de marzo de 2020, el gobierno declaró estado de emergencia y aislamiento social obligatorio a nivel nacional por 15 días,[11]​ lo que se extendió varias veces hasta fines de junio.[12]​ En junio, se cambió la cuarentena general por un aislamiento social focalizado y se flexibilizó la inmovilización social obligatoria.[13]​ Esta medida se extendió varias veces hasta septiembre, con nuevos departamentos y provincias entrando en aislamiento focalizado. En enero de 2021, comenzó la segunda ola, con algunas regiones regresando a la cuarentena total. El 4 de enero de 2022, se oficializó el inicio de la tercera ola, que tuvo picos muy superiores de contagios a comparación de las dos anteriores. El 26 de junio de 2022 se oficializó el inicio de la cuarta ola[14]​ y el 2 de diciembre la quinta ola.[15]​La pandemia de COVID-19, conocida también como pandemia de coronavirus, es una pandemia derivada de la enfermedad causada por el virus SARS-CoV-2.[8]​[9]​ Inicialmente fue llamada «neumonía de Wuhan», puesto que los primeros casos fueron identificados en diciembre de 2019 en la ciudad china de Wuhan,[10]​[11]​ al reportarse casos de un grupo de personas enfermas con un tipo de neumonía desconocida. La mayoría de los afectados tenía vinculación con trabajadores del Mercado mayorista de mariscos de Huanan.[12]​ La Organización Mundial de la Salud (OMS) la declaró una emergencia de salud pública de importancia internacional el 30 de enero de 2020, condición que mantuvo hasta el 5 de mayo de 2023, cuando la OMS decretó el fin de la emergencia sanitaria.[13]​ El curso de la enfermedad se encuentra en endémico, debido a que ya no se reportan casos con tanta frecuencia como en sus primeros años.[14]​
Semanas antes de la declaración del fin de la emergencia de salud pública de importancia internacional, algunos países ya habían iniciado la transición de su enfoque de salud pública hacia la consideración del SARS-CoV-2 como un virus endémico.[15]​[16]​
Para el 8 de agosto de 2023 se habían contabilizado más de 692 millones de casos de la enfermedad en 260 países y territorios, y 6.97 millones de fallecidos. Por otra parte, para enero de 2023 se han alcanzado las 5294 millones de personas vacunadas con al menos una dosis, un 66% de la población mundial. La OMS estima que al menos el 10% de la población mundial ya se había contagiado de esta enfermedad (unas 780 millones de personas infectadas aproximadamente), debido al gran subregistro de casos a nivel mundial.[17]​[18]​
El virus se transmite generalmente de persona a persona a través de pequeñas gotas de saliva, conocidas como gotas de Flügge, que se emiten al hablar, estornudar, toser o respirar.[19]​[20]​[21]​ También está documentada la transmisión por aerosoles (< 5 μm). Se difunde principalmente cuando las personas están en contacto cercano, pero también se puede difundir al tocar una superficie contaminada y luego llevar las manos contaminadas a la cara o las mucosas. Su período de incubación suele ser de cinco días, pero puede variar de dos hasta catorce días.[22]​[23]​ Los síntomas más comunes son fiebre, tos seca y dificultades para respirar.[22]​ Las complicaciones pueden incluir neumonía, síndrome respiratorio agudo o sepsis.[24]​[25]​[26]​ En la Organización Mundial del Comercio (OMC), un grupo de 99 países en vías de desarrollo liderados por India y Sudáfrica, con el apoyo de ONG como Médicos sin Fronteras, pidieron la suspensión temporal de las patentes de las vacunas contra la COVID-19 mientras dure la pandemia. A este pedido se oponen, entre otros países, la mayoría de los miembros de la Unión Europea, Estados Unidos y Brasil.[27]​[28]​[29]​[30]​[31]​
Las medidas de prevención recomendadas incluyen lavarse las manos, cubrirse la boca al toser, el distanciamiento físico entre las personas y el uso de máscaras faciales, además del autoaislamiento y el seguimiento para las personas sospechosas de estar infectadas.[20]​ La edad (> 65 años) así como la presencia de enfermedades crónicas como la diabetes, cardiopatías, enfermedades respiratorias, hipertensión arterial o inmunodeficiencias son factores de riesgo que incrementan la probabilidad de contraer la enfermedad y de llegar a tener complicaciones graves, por lo que se aconseja el confinamiento domiciliario tanto como sea posible.[32]​
Asimismo, se ha confirmado que otros animales —como venados,[33]​ perros, gatos, tigres, leones y murciélagos— pueden contraer COVID-19 al igual que los seres humanos. Aún está en estudio si los animales también deberían tomar las mismas medidas de distanciamiento que los seres humanos para evitar su propagación.[34]​[35]​ Para evitar la expansión del virus, los gobiernos han impuesto restricciones de viajes, cuarentenas, confinamientos, cancelación de eventos y el cierre de establecimientos.[cita requerida]
La pandemia tuvo un efecto socioeconómico disruptivo.[36]​ Durante 2020 y parte de 2021 se cerraron colegios y universidades en más de 124 países, lo que afectó a más de 2200 millones de estudiantes.[37]​ Aproximadamente un tercio de la población mundial fue confinada y se impusieron fuertes restricciones a la libertad de circulación,[38]​ lo cual condujo a una reducción drástica de la actividad económica[39]​ y a un aumento paralelo del desempleo.[40]​ Se han desatado maniobras de desinformación y teorías conspirativas sobre el virus,[41]​[42]​ así como algunos incidentes de xenofobia y racismo contra ciudadanos chinos y de otros países del este y sudeste asiático.[43]​ Debido a la reducción de los viajes y al cierre de numerosas empresas, ha habido un descenso en la contaminación atmosférica.[44]​[45]​
La OMS dio por finalizada la COVID-19 el 5 de mayo de 2023.[46]​ La enfermedad ha seguido circulando, pero a partir de 2024, los expertos no estaban seguros de si seguía siendo una pandemia.[47]​  Las pandemias y sus finales no están bien definidos, y si una ha terminado o no difiere según la definición utilizada. A 27 de octubre de 2024, COVID-19 ha causado 7.071.311 muertes confirmadas. La pandemia COVID-19 es la quinta pandemia o epidemia más mortífera de la historia."
105,[ 0.002872  0.02388  -0.02887  ...  0.02777  -0.03665  -0.0554  ],"Una ciudad fronteriza es una localidad o ciudad cercana a la frontera entre dos países, estados, o regiones. Normalmente el término implica que la cercanía a la frontera es una de las cosas por las que el lugar es más conocido.
Debido a su proximidad a un país diferente, puede haber influencia de tradiciones y cultura exóticas en el lugar, pudiendo crearse distintas manifestaciones de sincretismo cultural. Las ciudades fronterizas pueden tener comunidades altamente cosmopolitas, una característica que comparten con ciudades portuarias, debido a los constantes viajes y comercio que pasan por la ciudad. También pueden ser puntos en que se generen conflictos internacionales, especialmente cuando los dos países tienen disputas territoriales. Por otro lado, la proximidad geográfica entre dos aglomeraciones urbanas favorece el comercio fronterizo, dependiendo la legislación que tenga cada país en relación con este tema, así como también la libertad de viaje de los ciudadanos.La Ciudad de Panamá[4]​ es la capital de la República de Panamá,[5]​[6]​ de la Provincia de Panamá y cabecera del Distrito de Panamá.[7]​ Está ubicada a orillas del golfo de Panamá, en el océano Pacífico, al este de la desembocadura del Canal de Panamá. 
Fundada con el nombre de La Muy Noble y Leal Nuestra Señora de la Asunción de Panamá, el 15 de agosto de 1519 por el español Pedro Arias Dávila cerca de una ranchería Cueva a la que llamaban Panamá,[8]​[9]​ actualmente ocupa un área de 2561 km². Como capital de la república, alberga la sede del Gobierno Nacional, junto a otras instituciones gubernamentales y una gran cantidad de embajadas y consulados debidamente acreditados.[10]​ Está comunicada mediante el puerto de Balboa, el aeropuerto Internacional de Tocumen, la carretera Panamericana y la carretera transístmica (autopista Panamá–Colón), que une en 78,9 km la ciudad con la costa del mar Caribe.
La ciudad es el principal centro cultural y económico de Panamá. Posee una intensa actividad financiera y un centro bancario;[11]​ ocupó la 2.ª posición en la versión 2013 de la clasificación de las Ciudades Más Competitivas de América Latina.[12]​ El canal de Panamá y el turismo son también notables fuentes de ingreso para la economía de la ciudad, que cuenta con un clima tropical monzónico. El paisaje urbano que ofrece la ciudad que entremezcla rascacielos, mar y bosque tropical la hace única en América Latina, asimismo, es una de las siete capitales costeras de Hispanoamérica, conjuntamente con La Habana, San Juan, Lima, Buenos Aires, Montevideo y Santo Domingo."
106,[-0.01978  0.01616 -0.05283 ... -0.01409  0.02647  0.02437],"Shanghái[6]​ (en chino, 上海; pinyin, ; en shanghainés, ) es la ciudad más poblada de China y una de las más pobladas del mundo. Administrativamente, es uno de los cuatro municipios a nivel central. Cuenta con más de 24 millones de habitantes.[7]​ Situada en la China del Este, Shanghái yace en el delta del río Yangtsé, centrada en la costa del mar de la China Oriental y es administrada al máximo nivel con la categoría de municipio de control directo.[8]​
El área donde se sitúa la ciudad fue colonizada y asentada por los refugiados que huían de los mongoles hacia el 960-1126 d. C. Antiguamente se dedicaba a la pesca y textiles pero su importancia creció en el siglo XIX debido a su localización estratégica como puerto de mar, a la imposición occidental de abrirse al tráfico internacional establecida por el Tratado de Nankín en 1842 y a la ocupación de su territorio por medio de la «Concesión Internacional de Shanghái» a favor de catorce potencias extranjeras.[9]​ 
Shanghái fue floreciendo como eje comercial entre China y las potencias coloniales y como nodo financiero y comercial a partir de 1930.[10]​ La población occidental comenzó a abandonar la zona a comienzos de la guerra del Pacífico en 1941 hasta que finalmente, tras la revolución y guerra civil, en 1949 la actividad de Shanghái se redujo considerablemente dejando de recibir inversión extranjera. Con las reformas económicas durante la década de 1990, Shanghái experimentó un espectacular crecimiento financiero y turístico, siendo sede de numerosas empresas multinacionales y vanguardistas rascacielos. Actualmente es el mayor puerto del mundo por volumen de mercancías.[11]​
La ciudad es un destino turístico por sus monumentos como el Bund, el Templo del Dios de la Ciudad, los rascacielos del Pudong y como centro cosmopolita de la cultura y el diseño.[12]​[13]​Actualmente Shanghái es descrita habitualmente como la «pieza estrella» de la economía de mayor crecimiento del mundo[14]​ inmersa en una competición con Cantón y el área urbana del río Perla, por convertirse en la mayor urbe de China.
Administrativamente, Shanghái es una de las cuatro municipalidades de la República Popular China administradas directamente por el gobierno central del país. Shanghái es la capital económica de China. Ocupa una superficie de 6340 km². El dialecto local es el shanghainés, una variedad de chino wu (吳語, wúyǔ).[15]​La gastronomía china (中国飲食 Zhōngguó yǐnshí) es una de las más ricas debido a la antigua tradición culinaria del país, y está muy ampliamente representada en el mundo.[cita requerida] Se puede decir que originariamente procede de diferentes regiones de China, que se ha expandido a otras partes del mundo — desde el sureste de Asia pasando por el continente americano hasta toda Europa. 
La moda china está íntimamente relacionada no solo con la sociedad, sino también con la filosofía y la medicina chinas. Distingue entre el cai (verduras cocinadas y por extensión todo lo que acompaña los cereales) y los cereales en sí, el fan. Los alimentos yin (femeninos) son alimentos tiernos y ricos en agua como las frutas y las verduras, y tienen un efecto refrescante. Los alimentos yang (masculinos) incluyen los platos fritos, especiados y a base de carnes, y sirven para recalentar. Si toda comida tiene que armonizar los sabores, las comidas chinas tienen también que buscar un equilibrio entre lo frío y lo caliente, los colores y la consistencia de los diversos alimentos. Por ello las técnicas culinarias chinas son numerosas y particularmente variadas.
La sucesión de platos tal y como se conoce en los países occidentales es sustituida por la búsqueda del equilibrio entre los cinco sabores básicos (dulce, salado, ácido, amargo y picante). Por ello, los platos con sabor exclusivamente dulce solo se ofrecen al final de los festines dados con motivo de grandes celebraciones. La vista también desempeña un papel importante en la presentación de los platos. Algunos platos se sirven con fines esencialmente terapéuticos, como los nidos de golondrinas o las aletas de tiburones que son ingredientes insípidos. El concepto de la complementariedad entre lo frío y lo caliente, heredado de la medicina china, se toma particularmente en cuenta en la gastronomía del sur de este país.
Existen numerosos estilos regionales, religiosos y étnicos de cocina china dentro y fuera del país. La cocina china es muy diversa y se suele clasificar en divisiones provinciales, aunque estas clasificaciones provinciales constan de muchos más estilos dentro de sí mismas. Las Cuatro Grandes Tradiciones más alabadas de la cocina china son Chuan, Lu, Yue y Huaiyang, que representan las cocinas del oeste, norte, sur y este de China, respectivamente.[1]​ Las ocho cocinas modernas de China son Anhui (徽菜; Huīcài), Guangdong (粤菜; Yuècài), Fujian (闽菜; Mǐncài), Hunan (湘菜; Xiāngcài), Jiangsu (苏菜; Sūcài), Shandong (鲁菜; Lǔcài), Sichuan (川菜; Chuāncài) y Zhejiang (浙菜; Zhècài).[2]​"
107,[-0.0299   -0.00638  -0.03687  ... -0.006424 -0.02654   0.00198 ],
108,[-0.02182 -0.04172 -0.05136 ... -0.03564  0.07825  0.03503],"Sakya Trizin es el título que se le otorga a la cabeza del linaje Sakya. Su traducción literal es ""sostenedor del linaje Sakya"", entendiendo por linaje en el Budismo Tibetano la línea ininterrumpida de transmisión de enseñanzas desde el mismo Buda.[1]​
La escuela Sakya fue fundada en el año 1073 d. C., cuando Khön Konchog Gyalpo, un miembro de la familia noble Khön, estableció un monasterio en la región de Sakya en el Tíbet que pasó a convertirse en la sede central del linaje. Desde ese momento, la transmisión de enseñanzas se producirá siempre dentro de esta familia.
El actual Sakya Trizin es Gyana Vajra, oficialmente conocido como Khondung Gyana Vajra Rinpoche, es el 43.er Sakya Trizin.[2]​
La figura de Sakya Trizin es reconocida en el Budismo por la gran labor que realiza en la difusión del Dharma del Buda, ya que transmite los principales ciclos de iniciación de todos los Tantras y de todas las prácticas espirituales budistas que contienen las autorizaciones relativas a las prácticas esotéricas de las diversas escuelas del budismo tibetano.El linaje de la Tradición Sakya Trizin[1]​es la línea sucesoria ininterrumpida de antepasados y descendientes de Sakya Trizin, título que se le otorga a la cabeza del linaje Sakya.[2]​[3]​La Tradición Sakya es uno de los linajes budistas más antiguos surgido en Tíbet. Sus enseñanzas provienen del mismo Buddha (s. VI a.c.) y, de manera interrumpida, han pasado de generación en generación hasta la actualidad.
En el Tíbet, la tradición se estableció formalmente en el año 1073 de nuestra era, a través de la fundación de un monasterio en la región de Sakya por Khön Konchok Gyalpo (1034-1102).
Khön Könchok Gyalpo estudió junto a Drokmi Lotsāwa Śākya Yeshe[4]​ (c.992-1072), quien le transmitió el ciclo de enseñanas sobre el «Lamdré» y la deidad Jevajra, pasando a considerarse esta una de las enseñanzas cardinales a lo largo de los siglos en la Tradición Sakya.
Históricamente, el relato fundacional de los Khön sostiene que son descendientes de los llamados «Dioses de luz clara» (Tib. «'od gsal»),[5]​ seres celestiales provenientes del Rupadhatu, el Reino de la Forma o Luz Clara. De esta línea ancestral proviene Khon Konchog Gyalpo, el fundador de primer monasterio en Sakya en 1073.
Contemporáneamente, el 41º Sakya Trizin, cuyo mandato duró más de cincuenta años, fue el Sakya Trizin con el mandato más extenso.[6]​ 
Actualmente, Sakya Trizin es S.S. Gyana Vajra, oficialmente conocido como Kyabgon Gongma Trizin Rinpoche, 43.º Sakya Trizin Gyana Vajra Rinpoche."
109,[-0.03647 -0.06476 -0.04843 ...  0.02068  0.01022 -0.03003],"El vicariato apostólico de Arabia del Norte (en latín: Vicariatus Apostolicus Arabiae Septentrionalis y en árabe: النيابة الرسولية لشمال شبه الجزيرة العربية‎) es una circunscripción eclesiástica de rito latino de la Iglesia católica en la península arábiga. Desde el 13 de mayo de 2020 su administrador apostólico sede vacante es Paul Hinder, O.F.M.Cap.En el cristianismo, un obispo (del latín episcopus; en griego ἐπίσκοπος, 'vigilante', 'inspector', 'supervisor' o 'superintendente') es un fiel que recibe el liderazgo de supervisar una congregación, a los pastores o sacerdotes, según el caso, de un territorio determinado.
La Iglesia católica, la Iglesia ortodoxa, la Comunión anglicana y algunas iglesias luteranas afirman que la sucesión apostólica se mantiene mediante la ordenación de obispos de forma personal e ininterrumpida desde los tiempos de los apóstoles. Esto es, los apóstoles ordenaron a obispos, los cuales de forma ininterrumpida han seguido ordenando nuevos obispos hasta hoy.
En la Iglesia católica es un presbítero que lleve, al menos, cinco años ordenado, y que recibe el sacramento del orden sacerdotal en su máximo grado, que es el episcopado. Considera al obispo como el miembro de la Iglesia que ha recibido la plenitud del sacerdocio ministerial por el sacramento del orden, sucesor de los apóstoles y pastor encargado del gobierno de una diócesis; en virtud de la colegialidad, comparte con el papa y con los demás obispos la responsabilidad sobre toda la Iglesia católica. 
En La Iglesia de Jesucristo de los Santos de los Últimos Días, un obispo es el líder de una congregación local (conocida como barrio) con responsabilidades similares a las de un pastor, sacerdote, o rabí. Esta posición no es remunerada.[1]​ 
Desde un punto de vista etimológico, el obispo es aquella dignidad eclesiástica encargada del control y vigilancia del cumplimento de las leyes de la Iglesia católica o Derecho canónico en el territorio de su jurisdicción o diócesis. Los obispos poseen símbolos distintivos que muestran su dignidad. En el catolicismo, usan vestiduras de color púrpura, un anillo y una cruz. En las ceremonias solemnes, llevan la mitra y el báculo pastoral. El papa, pastor de la Iglesia católica y cabeza del Colegio Episcopal, es al mismo tiempo el obispo de Roma."
110,[ 0.02818   0.001065 -0.04895  ... -0.01704  -0.04108   0.01138 ],"El parto humano, también llamado nacimiento, es la culminación del embarazo humano hasta el período de la salida del feto del útero.[1]​ La edad de un individuo se define por este suceso en muchas culturas. Se considera que una mujer inicia el parto con la aparición de contracciones uterinas regulares, que aumentan en intensidad y frecuencia, acompañadas de cambios fisiológicos en el cuello uterino.[2]​
El proceso del parto  natural se categoriza en cuatro fases: el borramiento y dilatación del cuello uterino, el descenso, nacimiento del bebé y el alumbramiento de la placenta. El parto puede verse asistido con medicamentos como  anestésicos o la oxitocina, utilizada ante complicaciones de retraso grave de alumbramiento. Junto con la episiotomía (incisión quirúrgica en la zona del perineo), todo esto no debe hacerse nunca de manera rutinaria, ya que el parto más seguro es el que evoluciona espontáneamente y en el que no se interviene innecesariamente.[3]​ En algunos embarazos catalogados como de riesgo elevado para la madre o el feto, el nacimiento ocurre por cesárea: la extracción del feto a través de una incisión quirúrgica en el abdomen.
La tasa de mortalidad materna sin asistencia médica (que incluye la preñez, el parto y el puerperio, siendo el parto el momento de mayor riesgo) es de alrededor de 1 en 150. Por su parte, la tasa de mortalidad neonatal sin asistencia médica es mucho mayor y la tasa de morbilidad para ambos, es decir, enfermedad y secuelas, es evidentemente aún más elevada. Esto se constata observando las estadísticas históricas previas a la introducción de las técnicas de asepsia y antisepsia, así como el uso de líquidos intravenosos, transfusiones, antibióticos, oxitocina, antihipertensivos, cirugía y muchos otros procedimientos médicos.
Estas elevadísimas tasas de mortalidad persisten en los partos naturales sin ninguna asistencia médica que siguen sucediendo en numerosos países debido a la falta de acceso a los recursos sanitarios o por razones ideológicas.[4]​La dilatación térmica negativa es un proceso físico-químico en el que algunos materiales se contraen al ser calentados, al contrario de lo que hacen la mayoría de las sustancias. Estos materiales tienen una amplia gama de aplicaciones potenciales en ingeniería, fotónica, electrónica, y en usos estructurales. Por ejemplo, mezclando un material de expansión térmica negativa con un material ""normal"" que se expanda al calentarlo, sería posible hacer un material compuesto de expansión cero."
111,[-0.004436  0.0419    0.02025  ... -0.03558   0.011444  0.02426 ],"El sirope de chocolate, salsa de chocolate o jarabe de chocolate es un tipo de condimento que suele añadirse a ciertas preparaciones culinarias con el objeto de aumentar el sabor y aroma a chocolate. El sirope de chocolate puede añadirse a una amplia gama de platos, si bien a menudo se usa para cubrir diversos postres, como helados, o mezclado con leche para obtener leche chocolateada. En repostería, mediante el uso de una manga puede ser empleado en la decoración de ciertos platos, como pueden ser postres.El granizado o raspado es un refresco o refrigerio compuesto de hielo troceado o rallado con sirope o jarabe de sabores variados (limón, fresa, café, etcétera). Recibe distintas denominaciones, dependiendo del país."
112,[-0.013504 -0.05566  -0.0289   ... -0.04074   0.04062   0.01047 ],"Jef Raskin (9 de marzo de 1943 - 26 de febrero de 2005) fue un programador y filósofo estadounidense. Diseñador de interfaces de usuario. Conocido principalmente por fundar el proyecto Macintosh para Apple Computer a fines de los años 70 y por los ordenadores Canon Cat de la compañía japonesa Canon.Michael Scott (11 de febrero de 1943)[1]​ fue el segundo director ejecutivo de Apple Computer desde 1976 hasta marzo de 1981. 
Mike Markkula, director de manufactura en National Semiconductor, convenció a Scott para que aceptara la plaza de director ejecutivo en Apple, como los cofundadores Steve Jobs y Steve Wozniak, ninguno era visto adecuado para el trabajo entonces.
Intentando poner un ejemplo para todos los negocios, en 1979 Scott declaró que no habría máquinas de escribir en Apple. En 1979 y 1980, el proyecto Macintosh de Jef Raskin era un esfuerzo de investigación de cuatro personas que no fue considerado importante dentro de Apple, y fue casi cancelado dos o tres veces. Cuando Apple tenía otra reorganización principal en otoño de 1980, le rescindieron el contrato, pero Jef suplicó a Scott y Markkula durante mucho tiempo y le concedieron otros tres meses para mostrar que era bueno en algo.
El 25 de febrero de 1981, día conocido en Apple como el Miércoles Negro, Scott despidió personalmente a 40 empleados de la empresa  incluyendo la mitad del equipo de Apple II, confiando en que ellos eran redundantes. Por la tarde reunió a los empleados restantes con un barril de cerveza y explicó los despidos declarando: ""Solía decir que si no me divertía siendo presidente de Apple, me iría. Pero he cambiado mi forma de pensar - cuando esto no sea divertido, despediré a la gente hasta que esto sea divertido otra vez.""
En 1981, después de este acontecimiento repentino, fue desplazado a vicepresidente, un título con poco poder, y Mike Markkula, el hombre que contrató a Scott, lo sustituyó. Scott dejó oficialmente Apple el 10 de julio de 1981, declarando en su carta de dimisión:

 

A partir de 1983 hasta 1988, Scott condujo Starstruck, una firma privada que intentó crear una lanzadera de cohetes controlada por satélite con base marina. También comenzó a apoyar organizaciones no lucrativas como la Ópera de Seattle y el Instituto de Tecnología de California, en sus esfuerzos para aplicar ordenadores personales a sus necesidades. 
Scott se ha hecho desde entonces un experto en gemas coloreadas, ha escrito un libro sobre ellas y ha montado una colección que ha sido expuesta en el Museo Bowers en Santa Ana. También patrocinó Rruff, un proyecto que crea un set completo de datos espectrales de alta calidad de minerales bien caracterizados."
